Team,Seed,Region
Villanova,1,East
Mt St Marys/New Orleans,16,East
Wisconsin,8,East
VA Tech,9,East
Virginia,5,East
NC-Wilmgton,12,East
Florida,4,East
E Tenn St,13,East
S Methodist,6,East
Providence/USC,11,East
Baylor,3,East
New Mexico,14,East
S Carolina,7,East
Marquette,10,East
Duke,2,East
Troy,15,East
Gonzaga,1,West
S Dakota St,16,West
Northwestern,8,West
Vanderbilt,9,West
Notre Dame,5,West
Princeton,12,West
W Virginia,4,West
Bucknell,13,West
Maryland,6,West
Xavier,11,West
Florida St,3,West
Fla Gulf Cst,14,West
St Marys,7,West
VCU,10,West
Arizona,2,West
North Dakota,15,West
Kansas,1,Midwest
NC Central/UC Davis,16,Midwest
Miami (FL),8,Midwest
Michigan St,9,Midwest
Iowa State,5,Midwest
UNLV,12,Midwest
Purdue,4,Midwest
Vermont,13,Midwest
Creighton,6,Midwest
Rhode Island,11,Midwest
Oregon,3,Midwest
Iona,14,Midwest
Michigan,7,Midwest
Oklahoma St,10,Midwest
Louisville,2,Midwest
Jacksonville,15,Midwest
N Carolina,1,South
TX Southern,16,South
Arkansas,8,South
Seton Hall,9,South
Minnesota,5,South
Middle Tenn,12,South
Butler,4,South
Winthrop,13,South
Cincinnati,6,South
Kansas St/Wake Forest,11,South
UCLA,3,South
Kent State,14,South
Dayton,7,South
Wichita St,10,South
Kentucky,2,South
N Kentucky,15,South
